Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;zeiliche Ableitung w_1 / rad/s;FFT fft / rad
0;0;0,005;2,44;;0,00790864206709952
0,0998415000000001;0,00488275598263725;0,005;2,46;-1,08827019435447;0,00830560300335194
0,200415249999999;0,0097655119652745;0,01;2,22;-3,59272223997224;0,00345012200703411
0,300544499999999;0,0146482679479118;0,005;1,74;-5,68411149711094;0,00102816658949702
0,399561499999999;0,019531023930549;0,005;1,09;-7,10009653518298;0,000942009537474914
0,500282499999999;0,0244137799131863;0,01;0,32;-7,83583549412012;0,00125837438511399
0,599972999999999;0,0292965358958235;0,01;-0,48;-7,71115265246199;0,00113326890288659
0,700022499999999;0,0341792918784607;0,015;-1,22;-6,79270048919828;0,00121595006693834
0,800212999999999;0,039062047861098;0,01;-1,84;-5,18850591228203;0,00105379150723511
0,9005045;0,0439448038437353;0,01;-2,26;-3,04242529903597;0,00117912228752232
1,0004535;0,0488275598263725;0,005;-2,45;-0,64786324123176;0,000944196615578993
1,1001365;0,0537103158090097;0,005;-2,39;1,83953469871824;0,000835761371648537
1,20057325;0,058593071791647;0,005;-2,08;4,17132825111762;0,000933528133908158
1,29976;0,0634758277742842;0,01;-1,56;6,01879948977054;0,00110649878873765
1,3997425;0,0683585837569215;0,005;-0,88;7,25960810981834;0,00112885817791681
1,5007435;0,0732413397395588;0,005;-0,1;7,74032957119046;0,000947131881923796
1,60000025;0,078124095722196;0,005;0,67;7,3969719561308;0,000987210307481154
1,7009965;0,0830068517048333;0,01;1,38;6,32778363007795;0,00092658224345753
1,80033825;0,0878896076874705;0,01;1,94;4,57675037958168;0,00101278234952651
1,89995525;0,0927723636701078;0,01;2,29;2,30895522331923;0,000989467561619837
1,99979025;0,097655119652745;0,01;2,4;-0,13974227209793;0,00105316653941412
2,100422;0,102537875635382;0,005;2,26;-2,60205384164976;0,00105259470969626
2,20031625;0,107420631618019;0,01;1,88;-4,77342483302097;0,00119820297139246
2,2996625;0,112303387600657;0,01;1,31;-6,41929663285366;0,00109047057493678
2,399591;0,117186143583294;0,005;0,6;-7,42172623794815;0,00112424444102641
2,500353;0,122068899565931;0,01;-0,18;-7,60073488805623;0,000869319030323868
2,599513;0,126951655548568;0,01;-0,92;-7,00175351205427;0,00120366082626319
2,70055275;0,131834411531206;0,005;-1,58;-5,68368034441943;0,00120976299234906
2,79945625;0,136717167513843;0,005;-2,06;-3,78160618692116;0,00127002358811456
2,899573;0,14159992349648;0,005;-2,33;-1,4994310145776;0,00108622378148373
2,99995275;0,146482679479118;0,01;-2,36;0,918369535663418;0,0012212447962671
3,0990225;0,151365435461755;0,005;-2,15;3,20934958540649;0,00123428760459588
3,20069525;0,156248191444392;0,005;-1,71;5,20272346487645;0,00135024904080157
3,299778;0,161130947427029;0,01;-1,11;6,65871079358233;0,00117576918886892
3,400191;0,166013703409667;0,005;-0,38;7,44622648584672;0,00135121919074148
3,499912;0,170896459392304;0,01;0,38;7,3933269115248;0,00139597058296204
