Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;0,47;0,01;0,105324809290782
0,100196500000038;0,0195296117892358;0,31;0,12;0,110758595105981
0,200022750000016;0,0390592235784716;0,125;0,22;0,0494856113145331
0,300982000000033;0,0585888353677074;-0,0649999999999999;0,28;0,0100971054630119
0,400055000000009;0,0781184471569432;-0,24;0,31;0,00550483204737431
0,50025450000004;0,097648058946179;-0,375;0,29;0,00346830587427155
0,600063750000004;0,117177670735415;-0,46;0,23;0,00333523458125545
0,70057700000001;0,136707282524651;-0,485;0,15;0,00345993284083882
0,800040000000024;0,156236894313886;-0,48;0,03;0,00303119170565565
0,900910750000037;0,175766506103122;-0,41;-0,09;0,00289053843468845
0,999679750000041;0,195296117892358;-0,265;-0,21;0,00317842753327527
1,09994275000003;0,214825729681594;-0,085;-0,31;0,00298028541546242
1,19981275000004;0,234355341470829;0,11;-0,38;0,00254293282826742
1,30060400000002;0,253884953260065;0,29;-0,41;0,00291483509106462
1,39995924999999;0,273414565049301;0,435;-0,41;0,00316236320496941
1,50050275000001;0,292944176838537;0,54;-0,35;0,00331869007659559
1,59952275000001;0,312473788627773;0,575;-0,27;0,00347516913206971
1,70113650000002;0,332003400417008;0,57;-0,15;0,00413242742127063
1,80010425;0,351533012206244;0,515;-0,03;0,00380902839641945
1,90033975;0,37106262399548;0,365;0,09;0,00387199360783361
1,99989700000003;0,390592235784716;0,195;0,19;0,00510484122094654
2,10018200000002;0,410121847573952;0;0,27;0,00476630712423672
2,201322;0,429651459363187;-0,185;0,31;0,00539036808895464
2,30035800000002;0,449181071152423;-0,335;0,3;0,0064522406968082
2,40046000000001;0,468710682941659;-0,44;0,26;0,0135041809215599
2,49996000000004;0,488240294730895;-0,49;0,17;0,0344390809035101
2,600797;0,507769906520131;-0,48;0,07;0,179506726625587
2,7010315;0,527299518309366;-0,44;-0,05;0,392144147087546
2,80046075000001;0,546829130098602;-0,31;-0,17;0,494695540569744
2,90018275;0,566358741887838;-0,14;-0,29;0,358870734687613
3,00043450000004;0,585888353677074;0,0499999999999998;-0,37;0,142815463683184
3,10045400000001;0,605417965466309;0,235;-0,41;0,0210899949407711
