Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;FFT fft / rad
0;0;0,345;-0,08;0,0234122322794455
0,100759999999994;0,0195306554879381;0,505;-0,09;0,024371414048426
0,200413749999996;0,0390613109758761;0,57;-0,09;0,0101513294788456
0,299496749999989;0,0585919664638142;0,57;-0,09;0,00142752170604252
0,39973024999999;0,0781226219517522;0,46;-0,05;0,000672253860487579
0,499709749999994;0,0976532774396903;0,25;-0,02;0,000502450272316388
0,599752249999995;0,117183932927628;0,02;0,01;0,000629986540354726
0,700039249999989;0,136714588415566;-0,205;0,04;0,000578022455604628
0,799954999999997;0,156245243903504;-0,385;0,07;0,000528317141997781
0,900850749999989;0,175775899391442;-0,48;0,07;0,000467869274131435
1,0010085;0,195306554879381;-0,49;0,07;0,00044249200513768
1,09995024999999;0,214837210367319;-0,43;0,04;0,000513270694482293
1,19970975;0,234367865855257;-0,25;0,01;0,000508339344043918
1,30061449999999;0,253898521343195;-0,02;-0,03;0,000755280899636261
1,40057675;0,273429176831133;0,215;-0,06;0,000776610002544265
1,50108974999999;0,292959832319071;0,415;-0,09;0,00075439688513538
1,6006785;0,312490487807009;0,54;-0,09;0,000515164023986434
1,70003874999999;0,332021143294947;0,57;-0,09;0,000296901749358785
1,80049025;0,351551798782885;0,55;-0,07;0,000252923597439003
1,89951225;0,371082454270823;0,39;-0,05;0,000522083137184381
2,00025574999999;0,390613109758761;0,165;-0,01;0,000864819128035171
2,09956224999999;0,410143765246699;-0,0750000000000002;0,03;0,00105851077186696
2,20005574999999;0,429674420734637;-0,285;0,05;0,000907478226260555
2,30038225;0,449205076222575;-0,435;0,07;0,000806278006944152
2,4002385;0,468735731710513;-0,49;0,07;0,000624940048353254
2,5005465;0,488266387198451;-0,48;0,06;0,000623338650860162
2,59985075;0,507797042686389;-0,365;0,03;0,00081085054655261
2,69969074999999;0,527327698174327;-0,165;-0,01;0,000986511079713827
2,80148849999999;0,546858353662265;0,0750000000000002;-0,04;0,000905465822365955
2,90033774999999;0,566389009150204;0,3;-0,07;0,00104607114552787
2,9996;0,585919664638142;0,475;-0,09;0,00167025133842877
3,09980849999999;0,60545032012608;0,565;-0,09;0,0024777495595406
3,20026;0,624980975614018;0,565;-0,09;0,00451558712133126
3,30069574999999;0,644511631101956;0,5;-0,06;0,0323645480828033
3,399435;0,664042286589894;0,305;-0,03;0,0818222243141663
3,50073024999999;0,683572942077832;0,0700000000000003;0,01;0,112677526341175
3,59971575;0,70310359756577;-0,16;0,03;0,0889310013284922
3,70045524999999;0,722634253053708;-0,355;0,06;0,0399150096274352
3,8003145;0,742164908541646;-0,465;0,07;0,00739366862103135
3,90121375;0,761695564029584;-0,485;0,07;0,00283003517512159
