Zeit t / ms;Spannung U_2 / V;Spannung U_B1 / V;Stromstärke I_2 / A;Phasenverschiebung &j_2 / °;f2 f2;n0 n0;f0 f0;f1 f1;Spannung U_A1 / V;Z Z
2208;2,11910358406568;0,01;0,0005;-75,7953077700116;10;25;10;1320;2,10204662174748;4238,20716813135
4252;2,120459855786;0,0223606797749979;0,000707106781186548;-74,8247170729664;138,073111604176;25;10;1320;2,1181123671798;2998,78308652026
6291;2,12087246198351;0,06557438524302;0,00122474487139159;-79,4071523079745;254,877177617223;25;10;1320;2,16409334364301;1731,68511379331
8310;2,11890891734402;0,134164078649987;0,00180277563773199;-80,2789318528963;361,403751901966;25;10;1320;2,22618507766088;1175,35919223411
10319;2,11906229261907;0,221810730128188;0,00229128784747792;-79,9176478900723;458,557142329104;25;10;1320;2,30474510521229;924,834605547958
12348;2,11991155475883;0,328252951243397;0,00282842712474619;-79,4775206424037;547,16208747883;25;10;1320;2,40503638226119;749,501917942843
14357;2,12007075353631;0,450721643589478;0,00335410196624968;-78,3782159454982;627,970757875916;25;10;1320;2,51425933427719;632,082976268851
16392;2,12088424955253;0,591016074231488;0,00393700393700591;-77,1466165627426;701,669141191998;25;10;1320;2,64056812068918;538,70513809175
18428;2,12126730988812;0,747696462476585;0,00452769256906871;-75,8371743382543;768,882865619271;25;10;1320;2,78210352071953;468,50957248726
20451;2,12008254556279;0,917769034125689;0,0051234753829798;-74,2688409450875;830,182510850425;25;10;1320;2,93468056183292;413,797742174328
22461;2,11961081333343;1,1034038245357;0,00574456264653803;-72,470222051772;886,08845174991;25;10;1320;3,0999758063572;368,976881923433
24489;2,11867293370166;1,3039555207138;0,00642261628933256;-70,7666802549812;937,07527583463;25;10;1320;3,27101666152895;329,876928382068
26513;2,12113177337006;1,51682233633343;0,00707106781186548;-68,7544565013655;983,575812064228;25;10;1320;3,45346927016877;299,973332148043
28538;2,12113177337006;1,73628914642694;0,00772981241687015;-66,682285814575;1025,98480514148;25;10;1320;3,64034339039602;274,409217064664
30564;2,12123784616436;1,96582043940946;0,00845576726264388;-64,3209495600622;1064,66226651411;25;10;1320;3,83547910957679;250,862846655633
32595;2,1201474005361;2,20571983715067;0,00915150260886156;-62,1552002117371;1099,93653052472;25;10;1320;4,03050245006748;231,672053339429
