Zeit t / ms;Spannung U_2 / V;Spannung U_B1 / V;Stromstärke I_2 / A;Phasenverschiebung &j_2 / °;f2 f2;n0 n0;f0 f0;f1 f1;Spannung U_A1 / V;Z Z
2202;2,11910358406568;0,01;0,0005;-75,9347174175534;10;25;10;1320;2,10198715505114;4238,20716813135
4246;2,120459855786;0,0273861278752583;0,000707106781186548;-75,0225914180585;138,073111604176;25;10;1320;2,12101390848811;2998,78308652026
6275;2,12087246198351;0,0674536878161602;0,00122474487139159;-82,2562113222936;254,877177617223;25;10;1320;2,16494803632789;1731,68511379331
8299;2,11890891734402;0,136930639376292;0,00180277563773199;-84,3285374849533;361,403751901966;25;10;1320;2,2352628480785;1175,35919223411
10332;2,11906229261907;0,223047080231955;0,00229128784747792;-85,0672128837766;458,557142329104;25;10;1320;2,31793011111207;924,834605547958
12371;2,11991155475883;0,33203915431768;0,00282842712474619;-85,5521601878272;547,16208747883;25;10;1320;2,42348922011219;749,501917942843
14395;2,12007075353631;0,461952378498044;0,00339116499156263;-86,0320732504865;627,970757875916;25;10;1320;2,55276320876026;625,17475817636
16425;2,12088424955253;0,606506389084237;0,004;-86,1136080476421;701,669141191998;25;10;1320;2,69524581439245;530,221062388133
18431;2,12126730988812;0,792906047397798;0,00463680924774785;-85,991933015947;768,882865619271;25;10;1320;2,85981642767503;457,484273462068
20450;2,12008254556279;0,951498817655598;0,00526782687642637;-86,0594287492522;830,182510850425;25;10;1320;3,03699687191146;402,458659955247
22477;2,11961081333343;1,15557345071614;0,00595818764390649;-85,8451618170592;886,08845174991;25;10;1320;3,23709746532291;355,747576278699
24497;2,11867293370166;1,38155709255897;0,00672681202353686;-85,6540001025411;937,07527583463;25;10;1320;3,46067912410267;314,959437886551
26515;2,12113177337006;1,63346257992034;0,0075;-85,4301468379096;983,575812064228;25;10;1320;3,70300553604771;282,817569782674
28555;2,12113177337006;1,92626581758593;0,00842614977317636;-85,1294536087732;1025,98480514148;25;10;1320;3,97654372539772;251,732028324778
