a,B143,B286,B429,B571,B714
 10.00, 1.84, 3.55, 5.28,  6.89,  8.62
 20.00, 2.14, 4.17, 6.15,  8.14, 10.10
 30.00, 2.39, 4.64, 6.87,  9.09, 11.27
 40.00, 2.55, 5.05, 7.39,  9.79, 12.15
 50.00, 2.70, 5.29, 7.78, 10.28, 12.78
 60.00, 2.78, 5.46, 8.04, 10.65, 13.20
 70.00, 2.85, 5.58, 8.24, 10.91, 13.52
 80.00, 2.91, 5.66, 8.37, 11.08, 13.73
 90.00, 2.92, 5.70, 8.44, 11.18, 13.86
100.00, 2.93, 5.70, 8.47, 11.22, 13.90
110.00, 2.92, 5.69, 8.44, 11.21, 13.88
120.00, 2.89, 5.64, 8.37, 11.10, 13.76
130.00, 2.85, 5.57, 8.26, 10.96, 13.59
140.00, 2.79, 5.45, 8.09, 10.72, 13.30
150.00, 2.69, 5.29, 7.84, 10.38, 12.89
160.00, 2.57, 5.07, 7.50,  9.95, 12.33
170.00, 2.39, 4.75, 7.01,  9.34, 11.58
180.00, 2.16, 4.33, 6.36,  8.49, 10.57
190.00, 1.87, 3.77, 5.57,  7.45,  9.25
